company_name,fyear,status_label,current_asset,costs_of_good_sold,depreciation_and_amortization,ebitda,inventory,net_income,total_receivables,market_value,net_sales,total_assets,total_long_term_debts,ebit,gross_profit,total_current_liabilities,retained_earnings,total_revenue,total_liabilities,total_operating_expenses,division,majorgroup,division_name,majorgroup_name
C_826,2009,failed,26846.0,28647.0,12461.0,3.5,835.0,-5709.0,-4874.0,13124.0,1699.0,5589.0,-5.554,-24451.0,5106.0,25585.0,17.6922,9385.0,25585.0,30459.0,D,35,Manufacturing,Industrial Machinery & Equipment
C_5881,2001,failed,452514.0,1033503.0,1369832.0,286082.0,28.74,80568.0,109308.0,323381.0,84104.0,215885.0,28.71,108776.0,341077.0,1693213.0,214.3368,504859.0,1693213.0,1583905.0,C,17,Construction,Special Trade Contractors
C_20,2000,failed,420349.0,448044.0,6996.091,11.9,6745.0,12861.0,19606.0,26.069,35453.0,387.743,8.84,32198.0,346152.0,7022.16,59052.0,403731.0,7022.16,7002554.0,F,51,Wholesale Trade,Wholesale Trade – Nondurable Goods
C_5157,2003,failed,14.84,26309.0,12598.0,3749.0,1341.0,2594.0,3935.0,15.506,2296.0,8461.0,1.52,-34773.0,3621.0,28104.0,24.6473,12.21,28104.0,24169.0,D,36,Manufacturing,Electronic & Electrical Equipment
C_571,2000,failed,96887.0,279025.0,218736.0,145.94,9818.0,33391.0,43209.0,96996.0,49867.0,53566.0,9196.0,41584.0,40113.0,315732.0,69.776,203538.0,315732.0,272523.0,D,25,Manufacturing,Furniture & Fixtures
C_5531,2008,failed,322.0,337.0,43.0,3.0,3.0,-1739.0,-1736.0,-13.0,0.0,1259.0,-1744.0,-16406.0,17.0,0.03,20.8568,1262.0,0.03,1766.0,D,35,Manufacturing,Industrial Machinery & Equipment
C_3524,2005,failed,115219.0,197496.0,313926.0,1877.0,13386.0,11616.0,25002.0,124812.0,62801.0,68668.0,28251.0,21757.0,3899.0,438.738,206.6211,94333.0,438.738,413736.0,G,56,Retail Trade,Apparel Stores
C_1199,2000,failed,11199.0,36152.0,27368.0,7590.0,3659.0,-4807.0,-1148.0,-1148.0,392.0,17331.0,-3339.0,-2109.0,4562.0,26220.0,7267.56,32500.0,26220.0,27368.0,E,49,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
C_4788,2000,failed,1100957.0,3079506.0,433091.0,856559.0,145596.0,56.946,202542.0,226345.0,40698.0,123013.0,72281.0,517856.0,153452.0,659436.0,5326.0,1311.653,659436.0,456894.0,B,13,Mining,Oil & Gas Extraction
C_1960,1999,failed,6362.0,44.25,13922.0,51268.0,9908.0,-14598.0,-4.69,272.0,1226.0,6.73,-30.42,-47.321,2047.0,14194.0,6.6622,58358.0,14194.0,18884.0,B,13,Mining,Oil & Gas Extraction
C_5843,1999,failed,31554.0,35.364,13046.0,0.0,1158.0,-10935.0,-9777.0,-9777.0,0.0,1.01,-9888.0,-27.59,95.0,3269.0,148.1501,1.01,3269.0,13046.0,D,38,Manufacturing,Instruments & Related Products
C_2135,2000,failed,144814.0,192729.0,189411.0,16.0,5289.0,19276.0,24565.0,195834.0,138657.0,64937.0,10867.0,183917.0,589.0,385245.0,68.4446,110177.0,385245.0,360.68,G,59,Retail Trade,Miscellaneous Retail
C_1238,2015,failed,521.29,1430332.0,640.35,557.5,46.7,70756.0,117456.0,163878.0,69491.0,76132.0,26924.0,320.554,145539.0,804.228,257.9991,803334.0,804.228,686.772,E,45,"Transportation, Communications & Utilities",Air Transportation
C_7018,2001,failed,28397.0,44861.0,8646.0,0.0,1003.0,-14322.0,-13319.0,-6.168,999.0,1806.0,-12477.0,-27908.0,877.0,2478.0,38.7532,1806.0,2478.0,15797.0,D,36,Manufacturing,Electronic & Electrical Equipment
C_8253,2011,failed,41771.0,334267.0,13.75,30.0,15.75,301.0,16051.0,26485.0,0.0,59791.0,285.0,-59209.0,10703.0,40235.0,0.0195,126654.0,40235.0,24184.0,B,13,Mining,Oil & Gas Extraction
C_7232,2014,failed,359.2,3494.0,814.3,2030.2,173.0,238.9,411.9,561.1,60.9,471.2,64.3,377.0,20.7,1375.4,729.8648,2873.5,1375.4,963.5,E,45,"Transportation, Communications & Utilities",Air Transportation
C_5447,2009,failed,286437.0,583523.0,640.579,11454.0,63721.0,-39178.0,24.543,398002.0,161546.0,187552.0,-56132.0,110491.0,18051.0,1038581.0,411.0514,347962.0,1038581.0,1014038.0,G,56,Retail Trade,Apparel Stores
C_5410,2010,failed,345475.0,425584.0,401296.0,150.0,17903.0,30642.0,48545.0,190165.0,80.019,213716.0,3713.0,-821441.0,186.96,591461.0,427.9113,364305.0,591461.0,542.916,D,36,Manufacturing,Electronic & Electrical Equipment
C_6348,2001,failed,77215.0,88.878,1857.0,0.0,13528.0,-37207.0,-23679.0,8.306,0.0,12894.0,-123798.0,-199.464,1.502,10163.0,46.1193,13.471,10163.0,33842.0,D,34,Manufacturing,Fabricated Metal Products
